ID,actual_productivity
TEST_0000,0.44820315
TEST_0001,0.5210204
TEST_0002,0.5125896
TEST_0003,0.44820315
TEST_0004,0.5468265
TEST_0005,0.7045795
TEST_0006,0.75159
TEST_0007,0.729193
TEST_0008,0.5040255
TEST_0009,0.68051475
TEST_0010,0.45436057
TEST_0011,0.69383204
TEST_0012,0.60705817
TEST_0013,0.52550334
TEST_0014,0.5380989
TEST_0015,0.14720452
TEST_0016,0.68502367
TEST_0017,0.68502367
TEST_0018,0.5033416
TEST_0019,0.382864
TEST_0020,0.4546894
TEST_0021,0.54200697
TEST_0022,0.41878638
TEST_0023,0.41878638
TEST_0024,0.32913208
TEST_0025,0.50322556
TEST_0026,0.47394451
TEST_0027,0.5193716
TEST_0028,0.610174
TEST_0029,0.5443707
TEST_0030,0.5891366
TEST_0031,0.4069653
TEST_0032,0.6922376
TEST_0033,0.6846686
TEST_0034,0.5833689
TEST_0035,0.8838235
TEST_0036,0.28252187
TEST_0037,0.3871711
TEST_0038,0.5958107
TEST_0039,0.3871711
TEST_0040,0.37374398
TEST_0041,0.29333058
TEST_0042,0.2643606
TEST_0043,0.47526792
TEST_0044,0.66671485
TEST_0045,0.6256588
TEST_0046,0.7194326
TEST_0047,0.46227595
TEST_0048,0.37701908
TEST_0049,0.3211723
TEST_0050,0.37811413
TEST_0051,0.3681411
TEST_0052,0.43090183
TEST_0053,0.33784816
TEST_0054,0.47930512
TEST_0055,0.28316548
TEST_0056,0.49422145
TEST_0057,0.31160417
TEST_0058,0.36506635
TEST_0059,0.49422145
TEST_0060,0.42265236
TEST_0061,0.3683346
TEST_0062,0.586295
TEST_0063,0.39894104
TEST_0064,0.5169273
TEST_0065,0.27055207
TEST_0066,0.23061314
TEST_0067,0.5139791
TEST_0068,0.30904794
TEST_0069,0.47018072
TEST_0070,0.47955918
TEST_0071,0.4806677
TEST_0072,0.60705817
TEST_0073,0.5528858
TEST_0074,0.5380989
TEST_0075,0.3262834
TEST_0076,0.5658672
TEST_0077,0.32040077
TEST_0078,0.6365927
TEST_0079,0.62755835
TEST_0080,0.38568848
TEST_0081,0.3696328
TEST_0082,0.36298028
TEST_0083,0.53822523
TEST_0084,0.40802073
TEST_0085,0.6543788
TEST_0086,0.92621434
TEST_0087,0.6494741
TEST_0088,0.55836254
TEST_0089,0.37824142
TEST_0090,0.38324088
TEST_0091,0.50311816
TEST_0092,0.4647512
TEST_0093,0.29907617
TEST_0094,0.36906764
TEST_0095,0.3097708
TEST_0096,0.69565797
TEST_0097,0.48153198
TEST_0098,0.7936106
TEST_0099,0.42529762
TEST_0100,0.46313313
TEST_0101,0.46313313
TEST_0102,0.4270409
TEST_0103,0.40971354
TEST_0104,0.45069787
TEST_0105,0.47444984
TEST_0106,0.3934536
TEST_0107,0.3219043
TEST_0108,0.24404216
TEST_0109,0.3689875
TEST_0110,0.29147092
TEST_0111,0.26334855
TEST_0112,0.5670678
TEST_0113,0.32790783
TEST_0114,0.27046335
TEST_0115,0.32047334
TEST_0116,0.51106995
TEST_0117,0.49797267
TEST_0118,0.5113267
TEST_0119,0.5564598
TEST_0120,0.34929407
TEST_0121,0.4940057
TEST_0122,0.5649738
TEST_0123,0.45858613
TEST_0124,0.5845252
TEST_0125,0.4665194
TEST_0126,0.5553977
TEST_0127,0.58332974
TEST_0128,0.54294294
TEST_0129,0.44924536
TEST_0130,0.5155574
TEST_0131,0.39844742
TEST_0132,0.40902066
TEST_0133,0.42778265
TEST_0134,0.29850686
TEST_0135,0.470709
TEST_0136,0.42356464
TEST_0137,0.42356464
TEST_0138,0.5067984
TEST_0139,0.76980793
TEST_0140,0.8726109
TEST_0141,0.5067984
TEST_0142,0.4477535
TEST_0143,0.79371136
TEST_0144,0.45414233
TEST_0145,0.3466575
TEST_0146,0.46920276
TEST_0147,0.44822365
TEST_0148,0.45050904
TEST_0149,0.45050904
TEST_0150,0.5695994
TEST_0151,0.35933343
TEST_0152,0.59207094
TEST_0153,0.2819714
TEST_0154,0.61513096
TEST_0155,0.3494059
TEST_0156,0.8360181
TEST_0157,0.5956371
TEST_0158,0.36506894
TEST_0159,0.38113225
TEST_0160,0.33458367
TEST_0161,0.45352706
TEST_0162,0.37355435
TEST_0163,0.36335954
TEST_0164,0.5033416
TEST_0165,0.66051936
TEST_0166,0.4768695
TEST_0167,0.382864
TEST_0168,0.44438133
TEST_0169,0.5204624
TEST_0170,0.3984206
TEST_0171,0.4134594
TEST_0172,0.6159772
TEST_0173,0.8238464
TEST_0174,0.607879
TEST_0175,0.46615008
TEST_0176,0.4739184
TEST_0177,0.58190846
TEST_0178,0.88096625
TEST_0179,0.5288844
TEST_0180,0.42600715
TEST_0181,0.4827511
TEST_0182,0.5282942
TEST_0183,0.41476956
TEST_0184,0.3713861
TEST_0185,0.47822562
TEST_0186,0.3659974
TEST_0187,0.5343514
TEST_0188,0.38077304
TEST_0189,0.36024237
TEST_0190,0.33748055
TEST_0191,0.39229655
TEST_0192,0.54408884
TEST_0193,0.43743387
TEST_0194,0.40916184
TEST_0195,0.40916184
TEST_0196,0.3607639
TEST_0197,0.31400913
TEST_0198,0.39101776
TEST_0199,0.3607639
TEST_0200,0.36439407
TEST_0201,0.35230166
TEST_0202,0.3861738
TEST_0203,0.40046617
TEST_0204,0.4496522
TEST_0205,0.39319617
TEST_0206,0.42113373
TEST_0207,0.38057438
TEST_0208,0.43566522
TEST_0209,0.44924775
TEST_0210,0.4362106
TEST_0211,0.42595577
TEST_0212,0.45075834
TEST_0213,0.39777687
TEST_0214,0.41836053
TEST_0215,0.40208474
TEST_0216,0.7949584
TEST_0217,0.81856143
TEST_0218,0.8526152
TEST_0219,0.8150642
TEST_0220,0.5276639
TEST_0221,0.37910727
TEST_0222,0.5516187
TEST_0223,0.36101943
TEST_0224,0.38529247
TEST_0225,0.36281213
TEST_0226,0.4937291
TEST_0227,0.3812446
TEST_0228,0.39400697
TEST_0229,0.36637047
TEST_0230,0.41095236
TEST_0231,0.30916405
TEST_0232,0.63354856
TEST_0233,0.6267065
TEST_0234,0.96550727
TEST_0235,0.74172187
TEST_0236,0.36244053
TEST_0237,0.3801106
TEST_0238,0.41578656
TEST_0239,0.3383889
TEST_0240,0.429994
TEST_0241,0.36398864
TEST_0242,0.43826327
TEST_0243,0.412446
TEST_0244,0.70295936
TEST_0245,0.54286444
TEST_0246,0.48071942
TEST_0247,0.665537
TEST_0248,0.4667315
TEST_0249,0.5571794
TEST_0250,0.4386708
TEST_0251,0.4721973
TEST_0252,0.9056553
TEST_0253,0.7477497
TEST_0254,0.90441704
TEST_0255,0.5833689
TEST_0256,0.5883979
TEST_0257,0.3770369
TEST_0258,0.3646539
TEST_0259,0.50975984
TEST_0260,0.5477264
TEST_0261,0.47588205
TEST_0262,0.61024356
TEST_0263,0.48562968
TEST_0264,0.57083344
TEST_0265,0.6410605
TEST_0266,0.48071942
TEST_0267,0.5973674
TEST_0268,0.5629491
TEST_0269,0.6010878
TEST_0270,0.38460457
TEST_0271,0.6344756
TEST_0272,0.5680144
TEST_0273,0.60685796
TEST_0274,0.3683346
TEST_0275,0.35109186
TEST_0276,0.3683346
TEST_0277,0.60685796
TEST_0278,0.3683346
TEST_0279,0.60685796
TEST_0280,0.4713423
TEST_0281,0.6459135
TEST_0282,0.5502964
TEST_0283,0.7556125
TEST_0284,0.61623913
TEST_0285,0.71043533
TEST_0286,0.670696
TEST_0287,0.4761875
TEST_0288,0.48368782
TEST_0289,0.48164576
TEST_0290,0.44570482
TEST_0291,0.3923968
TEST_0292,0.51268274
TEST_0293,0.51268274
TEST_0294,0.7142213
TEST_0295,0.6558975
TEST_0296,0.43273228
TEST_0297,0.37492073
TEST_0298,0.4343905
TEST_0299,0.51077765
TEST_0300,0.3588391
TEST_0301,0.5108168
TEST_0302,0.57162946
TEST_0303,0.5070581
TEST_0304,0.6193059
TEST_0305,0.47607687
TEST_0306,0.54266083
TEST_0307,0.51615226
TEST_0308,0.38661885
TEST_0309,0.54695195
TEST_0310,0.41630217
TEST_0311,0.62384623
TEST_0312,0.62670803
TEST_0313,0.65928805
TEST_0314,0.49777597
TEST_0315,0.7896703
TEST_0316,0.43877375
TEST_0317,0.40839124
TEST_0318,0.40839124
TEST_0319,0.40839124
TEST_0320,0.64121854
TEST_0321,0.6634775
TEST_0322,0.6024696
TEST_0323,0.5202364
TEST_0324,0.42984653
TEST_0325,0.3151099
TEST_0326,0.5305846
TEST_0327,0.37212792
TEST_0328,0.4247557
TEST_0329,0.45580986
TEST_0330,0.51876265
TEST_0331,0.50358444
TEST_0332,0.41476956
TEST_0333,0.50092447
TEST_0334,0.4137702
TEST_0335,0.4352069
TEST_0336,0.57803583
TEST_0337,0.5879118
TEST_0338,0.47884104
TEST_0339,0.7461267
TEST_0340,0.40839124
TEST_0341,0.48626572
TEST_0342,0.42038
TEST_0343,0.43877375
TEST_0344,0.5442922
TEST_0345,0.43482542
TEST_0346,0.4386963
TEST_0347,0.43438265
TEST_0348,0.62067956
TEST_0349,0.42657325
TEST_0350,0.5299772
TEST_0351,0.42657325
TEST_0352,0.665537
TEST_0353,0.55190235
TEST_0354,0.6932971
TEST_0355,0.5436185
TEST_0356,0.3491606
TEST_0357,0.40879554
TEST_0358,0.40879554
TEST_0359,0.40879554
TEST_0360,0.40879554
TEST_0361,0.433833
TEST_0362,0.40879554
TEST_0363,0.433833
TEST_0364,0.40804
TEST_0365,0.37929252
TEST_0366,0.3845044
TEST_0367,0.4686155
TEST_0368,0.38673943
TEST_0369,0.3987841
TEST_0370,0.44674864
TEST_0371,0.42265236
TEST_0372,0.548694
TEST_0373,0.5564484
TEST_0374,0.5109613
TEST_0375,0.548694
TEST_0376,0.6205003
TEST_0377,0.6415801
TEST_0378,0.64465433
TEST_0379,0.44202468
TEST_0380,0.59868175
TEST_0381,0.64393234
TEST_0382,0.41502962
TEST_0383,0.4345244
TEST_0384,0.54838586
TEST_0385,0.43526208
TEST_0386,0.46479324
TEST_0387,0.4070486
TEST_0388,0.4862664
TEST_0389,0.47019657
TEST_0390,0.483427
TEST_0391,0.50685984
TEST_0392,0.4894477
TEST_0393,0.4446547
TEST_0394,0.48593643
TEST_0395,0.47307113
TEST_0396,0.510226
TEST_0397,0.9379355
TEST_0398,0.4843535
TEST_0399,0.7080757
TEST_0400,0.4634378
TEST_0401,0.40594324
TEST_0402,0.45208
TEST_0403,0.46276638
TEST_0404,0.433833
TEST_0405,0.433833
TEST_0406,0.433833
TEST_0407,0.5879118
TEST_0408,0.47018072
TEST_0409,0.26808178
TEST_0410,0.3970143
TEST_0411,0.55546814
TEST_0412,0.42675403
TEST_0413,0.4862664
TEST_0414,0.42086542
TEST_0415,0.47481018
TEST_0416,0.55546814
TEST_0417,0.65521264
TEST_0418,0.55546814
TEST_0419,0.6554899
TEST_0420,0.37983474
TEST_0421,0.7160501
TEST_0422,0.65060824
TEST_0423,0.5804733
TEST_0424,0.5150492
TEST_0425,0.71879905
TEST_0426,0.6207454
TEST_0427,0.808332
