id,count
0,102.1
1,214.78
2,73.71
4,29.73
5,71.09
10,129.48
11,194.81
12,314.86
15,37.32
17,121.45
18,298.79
23,243.67
25,96.34
26,37.82
31,204.25
39,154.08
40,27.46
41,182.12
42,364.33
43,166.42
51,227.12
52,83.1
54,14.67
60,140.82
61,148.5
62,114.24
63,29.39
65,116.87
66,112.55
68,145.42
71,71.2
80,30.98
82,72.61
94,134.32
98,285.35
101,32.0
102,136.72
107,94.29
112,234.67
113,78.85
115,52.81
116,124.65
120,144.13
121,89.72
122,327.09
132,188.2
143,91.72
147,68.2
150,19.46
151,88.68
152,231.55
153,91.63
155,173.84
156,74.23
159,185.59
161,127.82
163,47.85
177,190.23
186,15.08
188,19.51
190,98.66
191,83.67
192,262.71
195,312.49
200,133.77
209,311.74
210,15.43
211,241.51
214,107.31
215,25.88
218,105.9
219,33.15
222,126.89
225,15.51
228,314.04
236,218.91
241,38.2
242,181.29
243,234.18
245,19.13
247,246.4
251,131.87
252,87.83
253,83.08
254,89.75
258,323.6
260,52.09
261,172.55
265,114.21
266,278.8
267,293.68
269,164.85
270,72.72
275,100.27
278,35.28
279,79.6
286,102.73
287,29.21
288,211.54
289,138.86
293,18.44
294,158.67
297,42.47
302,123.26
303,72.08
304,73.03
307,99.38
309,16.82
311,178.65
312,130.71
314,180.41
315,236.06
319,168.34
322,115.59
323,71.56
325,133.73
327,240.84
330,36.71
332,194.7
333,16.17
338,104.32
341,108.47
345,189.87
348,122.67
349,47.67
350,118.83
352,53.77
355,17.12
356,243.79
358,58.61
363,134.09
369,176.28
371,19.33
372,151.4
375,312.31
380,127.49
388,46.19
391,140.5
392,262.8
393,367.49
394,200.54
396,27.6
401,38.14
407,102.92
409,90.12
410,114.66
416,102.31
418,124.06
420,147.39
421,244.09
422,132.21
424,293.81
428,315.74
429,202.66
431,158.73
435,11.27
439,115.6
441,11.74
447,96.39
449,146.98
451,144.17
452,15.83
454,214.45
458,205.2
463,123.4
467,14.75
470,234.97
471,169.22
474,297.22
478,16.39
483,123.15
484,128.16
485,84.61
486,126.54
491,98.31
494,103.26
495,238.27
497,205.17
499,170.61
515,109.31
518,216.27
521,160.04
525,150.52
529,239.46
532,151.11
534,105.06
540,113.01
544,298.32
547,179.0
549,45.91
563,35.26
564,143.03
567,122.28
572,109.21
577,126.79
578,266.74
585,333.81
588,150.55
589,126.0
590,105.21
592,16.66
594,217.52
596,14.39
598,336.72
599,145.66
605,36.97
606,126.39
607,253.75
608,220.88
609,67.52
610,287.88
611,180.84
614,130.44
615,216.53
616,247.5
617,124.57
618,244.85
624,121.78
629,134.66
631,90.14
633,98.3
637,24.93
638,106.27
643,71.27
644,131.56
645,33.55
646,204.55
648,183.51
650,39.88
651,208.33
652,267.42
656,93.05
657,18.16
659,91.55
660,215.1
662,99.78
665,373.4
675,328.25
681,158.46
682,197.02
685,19.88
686,197.27
689,24.43
696,147.57
703,148.03
704,97.31
705,109.89
714,227.65
717,106.84
718,14.34
720,92.43
721,256.75
723,237.24
726,190.54
728,143.5
730,211.64
731,27.38
734,338.42
737,75.86
738,18.36
745,178.22
746,27.13
749,233.3
752,25.8
753,179.53
758,245.81
765,17.03
766,218.2
768,84.41
769,192.16
774,132.32
775,107.6
781,57.59
784,328.65
794,18.01
795,279.88
796,85.68
802,149.62
803,222.53
805,32.92
806,297.15
807,103.63
809,15.67
810,158.73
812,192.98
814,117.36
818,249.37
819,136.87
825,68.29
836,111.91
839,119.15
847,262.38
848,174.68
851,123.63
852,137.85
853,33.77
857,153.17
858,44.61
859,224.33
861,23.28
867,102.92
870,213.64
871,209.62
872,220.54
874,358.93
881,186.46
886,137.57
890,57.2
895,159.61
899,85.7
900,273.96
901,257.89
902,250.47
903,41.6
913,263.83
918,203.36
923,110.94
924,37.56
926,25.32
927,19.86
930,219.89
934,32.6
937,112.1
939,158.54
941,91.1
942,368.22
946,277.77
950,97.44
953,90.82
959,107.44
961,29.13
962,100.63
964,69.29
969,190.48
971,151.84
976,41.54
978,262.83
980,243.59
981,149.04
990,363.96
993,17.81
996,19.15
998,327.45
999,198.72
1006,123.86
1008,15.26
1013,31.54
1015,100.22
1016,119.1
1022,307.69
1026,219.23
1028,234.63
1031,69.8
1034,50.75
1037,211.23
1040,69.26
1042,18.19
1046,17.52
1048,99.71
1049,108.78
1050,71.88
1051,224.82
1052,235.13
1055,196.02
1060,161.9
1064,26.97
1066,74.2
1071,100.39
1073,14.17
1089,215.75
1091,93.93
1092,79.97
1093,241.79
1096,316.01
1097,226.11
1098,17.61
1099,38.94
1102,188.05
