title,box_off_num
용서는 없다,976412.2258262854
아빠가 여자를 좋아해,2006779.808138656
하모니,1043089.6248070863
의형제,2355136.8430228443
평행 이론,2938438.28827959
회오리 바람,3.4090414282312977
경계도시 2,2278.8381974348686
이웃집 남자,0.9011213646355114
아마존의 눈물 극장판,1591.4511126060897
반가운 살인자,3.1122427255511096
집 나온 남자들,178179.39440238755
베스트셀러,577543.1355549879
작은 연못,6.75758152595906
경,1413.4692127834678
대한민국 1%,325369.2270419363
포화 속으로,1272654.4787265903
나쁜 놈이 더 잘 잔다,1342.3000210336452
맨발의 꿈,1931881.8493595044
요술,89636.19628340914
마법천자문: 대마왕의 부활을 막아라,482011.9896336128
인플루언스,0.1277106925780055
미스터 좀비,3263.7117178728577
김복남 살인사건의 전말,9493.054979532477
엄지아빠,6.804774667700912
탈주,0.8915718889607959
해결사,1124840.029427914
할,1085.0364594718344
된장,1113275.7219228847
조금만 더 가까이,8313.892234165134
우리 만난 적 있나요,1.070287161815388
쩨쩨한 로맨스,856171.1874170844
용서,102605.91815643337
브라보! 재즈 라이프,2943.5472521451816
카페 느와르,645.4023045661557
오래된 인력거,4046.3553545773693
창피해,2799.8445184985612
"양 한 마리, 양 두 마리",1392.4792836446943
하얀 정글,3574.57065178073
다슬이,1122.4615360082794
REC 알이씨,0.10463606080483143
량강도 아이들,0.6895928455154303
티끌모아 로맨스,70380.84184808144
더 킥,694443.3831255214
커플즈,93729.25238085812
오늘,179722.09893724427
완득이,772990.0980548435
은어,1.1470557221422018
고래를 찾는 자전거,2.716295205313494
도가니,8142.051669311377
겨울냄새,260.95752467073675
환타스틱 모던가야그머,1338.3836426927483
블라인드,1099738.7355907222
링크,2939.693692515183
퀵,708606.7593618204
모비딕,2438412.91324244
굿바이 보이,5.390769301339164
종로의 기적,4989.942370916599
회초리,649943.0783273035
체포왕,1146014.2016296054
세상에서 가장 아름다운 이별,2607635.540815737
나는 아빠다,415548.3257475601
수상한 고객들,3978042.7963925516
수상한 이웃들,4736.691892913106
돌아오는 길,386.77207504460233
우리 이웃의 범죄,3073.382313402466
엄마는 창녀다,0.4604966307462852
위험한 상견례,796357.4407705965
간증,3550.164249444527
"사랑한다, 사랑하지 않는다",243993.49410185526
"혜화, 동",11922.047120176037
글러브,702857.8554602234
가문의 귀환,820238.0631394833
잔혹한 앵글의 로망스,98.74514731175135
나의 PS 파트너,658387.8762626069
롤플레이,88.2206272999365
마티나,111.90283174652421
음치 클리닉,1379179.7773611245
남영동1985,184460.7516175934
돈 크라이 마미,35689.81180072691
반드시 크게 들을 것 2 : Wild Days,3065.540398087243
범죄소년,13022.826760881999
내가 살인범이다,2122811.860447458
터치,3192.249989842605
늑대소년,2328972.8153812303
맥코리아,1113.893971462669
용의자X,1374766.1608502844
하나안,922.9334883133381
투 올드 힙합 키드,8265.595151866568
한경직,1493.5230764216622
미운오리새끼,77594.1349354879
황제펭귄 펭이와 솜이,1132.3546116946025
두 개의 문,2127.758948238205
I AM,184714.58060190926
후궁 : 제왕의 첩,733840.0431745228
"안녕, 하세요!",115834.86175536137
천국의 아이들,0.5407005885126033
할머니는 일학년,31413.558977704157
두레소리,4.4661439757853145
